,spa_title,eng_title,year
1324, Cartas a María  - Letters To Maria,,2015
1325, Caure del niu , Caer del nido  ,2015
1326, Chicas nuevas 24 h oras (España,Spain 60% - Argentina 10% - Colombia 10% - Paraguay 10%  -,2015
1327,Perú 10% ),,2015
1328, Cocinando en el fin del mu ndo ,  Cooking At The World’s  End,2015
1329," Cola, colita, colassa ","  Cola,  colita,  colassa   ",2015
1330,Barcelona),,2015
1331, El Colegio de la Seda  , El Col·legi de la Seda,2015
1332, El Colibrí ,,2015
1333, Cooking Up A Tribute,,2015
1334, Corrupció: l’organisme no ciu , Corrupción:  el organismo  nocivo,2015
1335, Cuero y tinta ,,2015
1336, Dead Slow Ahead,,2015
1337, Desde que el mundo es mu ndo ,  Since  The World  Was World  ,2015
1338, Di-Capacitados,,2015
1339, District Zero,,2015
1340, Doctor Deseo: b usco en tus lab ios,,2015
1341, Droga oral,,2015
1342, Ecomunitat,,2015
1343, En Granad a es pos ible , In Granada It's Possible,2015
1344, En todas as man s , In Everyone's hands,2015
1345, Estación Andamana , Andamana Station,2015
1346, La fiesta en lla mas,,2015
1347, Folclore Argentino,,2015
1348, Frankenstein 04155,,2015
1349, El fútbol , O futebol,2015
1350," Gabo , la magia de lo re al "," Gabo, The Creation Of Gabriel García Márquez",2015
1351, Game over,,2015
1352, Generación Kronen,,2015
1353, Generación Mei Ming: miradas desde la adoles cencia,,2015
1354, El gran vu elo , The Great Flight,2015
1355, La Granja del Pas -  La Granja d el Paso,,2015
1356," Hi Mr. Gehry, I’m Marc fr om Arenys",,2015
1357, El hombre que empezó a cor rer,,2015
1358, I Am Your Father,,2015
1359," Ingenia, la pasión por apre nder",,2015
1360, La intérprete , L’interpret ,2015
1361, Islamar Tercero. Herida a bierta,,2015
1362, Jardín Barroco,,2015
1363, Jérez & El misterio d el Palo Cortado ,  Sherry  & The Mystery  Of Palo Cortado,2015
1364," JMQ, en busca de un sueño ", JMQ a la recerca d’un somni ,2015
1365, La Habana y Barcelona. Esplendor y ruinas  ," The Havana and Barcelona, Brightness and",2015
1366,Ruins,,2015
1367, Las lágrimas de África  , Tears of Africa,2015
1368, Lejos de los árboles. Montaje 2011,,2015
1369, Línea de meta ,  Finish Line,2015
1370, Loba,,2015
1371," L'Ovidi, cronica  d'un temps",,2015
1372, El lugar de las fresas  , The strawberry place,2015
1373, El Maestro del Juicio de Salomón,,2015
1374, Malpartida Fluxus Village,,2015
1375, Mario Conde,,2015
1376, El mé dico atento  , The Attentive Doctor,2015
1377," Mérida, El Gran Teatro del Mundo",,2015
1378, Mi Amigo El Alzheimer,,2015
1379, Mi Querida España,,2015
1380, Miradas múltiples: la máquina loca,,2015
1381, Modernos. Teatro de vanguardia en Canarias,,2015
1382, Muros , Walls,2015
1383, Next,,2015
1384, No estamos solos  ,,2015
1385, No existimos  , We don’t exist,2015
1386, No todo es vigilia ,  Not all is vigil,2015
1387, Ovnis en el barrio  , UFOs in the neighborhood,2015
1388," Patuchas, el hombre de los mil limones "," Patuchas, Man Of The Thousand Lemons",2015
1389, La primera ola  , The First Wave,2015
1390," Profes, la buena educación",,2015
1391, Projecte Rwanda ,  Project Rwanda,2015
1392, Queridos Monstruos  , Benvolguts Monstres,2015
1393, Ramón Gaya. La pintura como destino,,2015
1394, El reto de Eva  , Eva's Challenge,2015
1395," El río que suena, reflejo del tiempo: Joaquín Díaz",,2015
1396," Robles, duelo al sol "," Robles, Duel Under The Sun",2015
1397,Casademunt  Musical,,2015
1398," Sacristán, delantera de gallinero",,2015
1399, La Selva Inflada , The Inflated Jungle,2015
1400, El Somni Català,,2015
1401, La Sonrisa Verdadera  , True Smile,2015
1402, Sueños de sal ,  Dreams Of Salt,2015
1403, Tchindas,,2015
1404," El Teatro del Más A llá, Chavin de Huantar  ", Chavin de Huantar. The Theatre of the World,2015
1405,Beyond,,2015
1406, The Propaganda Game , The Korean Dream,2015
1407, The Spanish Dancer,,2015
1408, Tota la vida és ara,,2015
1409, Tras Nazarín ,  Following Nazarin,2015
1410, El último tabú,,2015
1411, Valeo no se cierra  ,,2015
1412, El viaje de Caín  , Cain's Journey,2015
1413, El viaje de las reinas,,2015
1414, El viaje de Leslie , A viaxe de Leslie ,2015
1415, La vida a 5 nudos , Life at 5 knots,2015
1416, La vida en llamas  , Life in flames,2015
1417,ANIMACIÓN , ANIMATION,2015
1418, Atrapa La Bandera - Capture The Flag,,2015
1419, Azahar,,2015
1420, Bisonte,,2015
1421, Psiconautas. Los niños olvidado s , Psiconautas. The Forgotten Children,2015
1422, El secreto de Amila ,  Olentzero eta Amilaren sekretua  ,2015
1423,Argentina 20%),,2015
1424, The Cubby House Project,,2015
1425, Yoko e ta lagunak , Yoko y sus amigos ,2015
1426,50%),,2015
